player,score
segfault_society,1042.0
token_titans,1007.0
rootbotz,1005.0
volt_x,948.0
legendary_,947.0
aegis,934.0
r2_d2,926.0
repeaters,924.0
omega_bots,912.0
zybots_,901.0
echobinary,876.0
asml,762.0
nexora,743.0
calit,576.0
tech_twins,483.0
teambinary,440.0
powerpuff,174.0
